"Title","Default language","Default text","en-US text","Variant status","Placeholder"
"5.2::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay Portal 5.2.","Learn about the supported configurations for Liferay Portal 5.2.","Active","dc.5_2-compatibility_matrix_card_description"
"5.2::Documentation Card Description","English","Reference the admin guide and whitepapers for Liferay Portal 5.2.","Reference the admin guide and whitepapers for Liferay Portal 5.2.","Active","dc.5_2-documentation_card_description"
"5.2::Downloads Card Description","English","Download the archived service packs and fix packs for Liferay Portal 5.2.","Download the archived service packs and fix packs for Liferay Portal 5.2.","Active","dc.5_2-downloads_card_description"
"5.2::Info Banner","English","Support for Liferay Portal 5.2 has ended.","Support for Liferay Portal 5.2 has ended.","Active","dc.5_2-info_banner"
"5.2::Page Heading","English","Liferay Portal 5.2","Liferay Portal 5.2","Active","dc.5_2-page_heading"
"6.0::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay Portal 6.0.","Learn about the supported configurations for Liferay Portal 6.0.","Active","dc.6_0-compatibility_matrix_card_description"
"6.0::Documentation Card Description","English","Reference the admin guide and whitepapers for Liferay Portal 6.0.","Reference the admin guide and whitepapers for Liferay Portal 6.0.","Active","dc.6_0-documentation_card_description"
"6.0::Downloads Card Description","English","Download the archived service packs and fix packs for Liferay Portal 6.0.","Download the archived service packs and fix packs for Liferay Portal 6.0.","Active","dc.6_0-downloads_card_description"
"6.0::Info Banner","English","Support for Liferay Portal 6.0 has ended.","Support for Liferay Portal 6.0 has ended.","Active","dc.6_0-info_banner"
"6.0::Page Heading","English","Liferay Portal 6.0","Liferay Portal 6.0","Active","dc.6_0-page_heading"
"6.1::Admin Guide Card Description","English","Learn how to use all the out-of-the-box features in Liferay Portal 6.1.","Learn how to use all the out-of-the-box features in Liferay Portal 6.1.","Active","dc.6_1-admin_guide_card_description"
"6.1::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay Portal 6.1.","Learn about the supported configurations for Liferay Portal 6.1.","Active","dc.6_1-compatibility_matrix_card_description"
"6.1::Deployment Guide Card Description","English","Learn how to deploy, configure, maintain, and monitor your Liferay Portal 6.1 environments.","Learn how to deploy, configure, maintain, and monitor your Liferay Portal 6.1 environments.","Active","dc.6_1-deployment_guide_card_description"
"6.1::End of Life Banner","English","The End of Life for Liferay Portal 6.1 EE will be on February 21, 2019.","The End of Life for Liferay Portal 6.1 EE will be on February 21, 2019.","Active","dc.6_1-end_of_life_banner"
"6.1::Info Banner","English","Liferay Portal 6.1 EE is now in the Limited Support Phase.","Liferay Portal 6.1 EE is now in the Limited Support Phase.","Active","dc.6_1-info_banner"
"6.1::Latest Release Card Description","English","Download and install the latest release of Liferay Portal 6.1.","Download and install the latest release of Liferay Portal 6.1.","Active","dc.6_1-latest_release_card_description"
"6.1::Page Heading","English","Liferay Portal 6.1","Liferay Portal 6.1","Active","dc.6_1-page_heading"
"6.1::Patching Tool Card Description","English","Download the patching tool to install Liferay Portal 6.1 software updates.","Download the patching tool to install Liferay Portal 6.1 software updates.","Active","dc.6_1-patching_tool_card_description"
"6.1::Service Life Card Description","English","Reference the end of life policy for Liferay Portal 6.1.","Reference the end of life policy for Liferay Portal 6.1.","Active","dc.6_1-service_life_card_description"
"6.1::Service Packs Archive Card Description","English","Access previous service pack releases for Liferay Portal 6.1.","Access previous service pack releases for Liferay Portal 6.1.","Active","dc.6_1-service_packs_archive_card_description"
"6.2::Activation Keys Card Description","English","Request a key for your workstation and production environments.","Request a key for your workstation and production environments.","Active","dc.6_2-activation_keys_card_description"
"6.2::Admin Guide Card Description","English","Learn how to use all the out-of-the-box features in Liferay Portal 6.2.","Learn how to use all the out-of-the-box features in Liferay Portal 6.2.","Active","dc.6_2-admin_guide_card_description"
"6.2::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay Portal 6.2.","Learn about the supported configurations for Liferay Portal 6.2.","Active","dc.6_2-compatibility_matrix_card_description"
"6.2::Deployment Guide Card Description","English","Learn how to deploy, configure, maintain, and monitor your Liferay Portal 6.2 environments.","Learn how to deploy, configure, maintain, and monitor your Liferay Portal 6.2 environments.","Active","dc.6_2-deployment_guide_card_description"
"6.2::Developer Studio Card","English","Developer Studio","Developer Studio","Active","dc.6_2-developer_studio_card"
"6.2::Developer Studio Card Description","English","An all-in-one, integrated development environment based on Eclipse.","An all-in-one, integrated development environment based on Eclipse.","Active","dc.6_2-developer_studio_card_description"
"6.2::Fix Delivery Method Card Description","English","Learn how Liferay Support delivers maintenance and emergency updates for Liferay Portal.","Learn how Liferay Support delivers maintenance and emergency updates for Liferay Portal.","Active","dc.6_2-fix_delivery_method_card_description"
"6.2::Info","English","Info:","Info:","Active","dc.6_2-info"
"6.2::Info Banner","English","Liferay Portal 6.2 EE is now in the Limited Support Phase.","Liferay Portal 6.2 EE is now in the Limited Support Phase.","Active","dc.6_2-info_banner"
"6.2::Latest Release Card Description","English","Download and install the latest release of Liferay Portal 6.2.","Download and install the latest release of Liferay Portal 6.2.","Active","dc.6_2-latest_release_card_description"
"6.2::Liferay Connected Services Card Description","English","A cloud-based management solution for maintaining a Liferay Portal infrastructure. ","A cloud-based management solution for maintaining a Liferay Portal infrastructure. ","Active","dc.6_2-liferay_connected_services_card_description"
"6.2::Liferay Faces Card","English","Liferay Faces","Liferay Faces","Active","dc.6_2-liferay_faces_card"
"6.2::Liferay Faces Card Description","English","A project that provides support for the JavaServer™ Faces (JSF) standard within Liferay Portal.","A project that provides support for the JavaServer™ Faces (JSF) standard within Liferay Portal.","Active","dc.6_2-liferay_faces_card_description"
"6.2::Mobile SDK Card","English","Mobile SDK","Mobile SDK","Active","dc.6_2-mobile_sdk_card"
"6.2::Mobile SDK Card Description","English","A framework for building native mobile apps that integrate with your different Liferay Portal instances.","A framework for building native mobile apps that integrate with your different Liferay Portal instances.","Active","dc.6_2-mobile_sdk_card_description"
"6.2::Other Products Tab","English","Other Products","Other Products","Active","dc.6_2-other_products_tab"
"6.2::Page Heading","English","Liferay Portal 6.2","Liferay Portal 6.2","Active","dc.6_2-page_heading"
"6.2::Patching Tool Card Description","English","Download the patching tool to install Liferay Portal 6.2 software updates.","Download the patching tool to install Liferay Portal 6.2 software updates.","Active","dc.6_2-patching_tool_card_description"
"6.2::Security Advisories Card Description","English","Learn more about known security vulnerabilities and fixes for Liferay Portal.","Learn more about known security vulnerabilities and fixes for Liferay Portal.","Active","dc.6_2-security_advisories_card_description"
"6.2::Service Life Card Description","English","Reference the end of life policy for Liferay Portal 6.2.","Reference the end of life policy for Liferay Portal 6.2.","Active","dc.6_2-service_life_card_description"
"6.2::Service Packs Archive Card Description","English","Access previous service pack releases for Liferay Portal 6.2.","Access previous service pack releases for Liferay Portal 6.2.","Active","dc.6_2-service_packs_archive_card_description"
"6.2::Social Office Card","English","Social Office","Social Office","Active","dc.6_2_social_office_card"
"6.2::Social Office Card Description","English","A workspace solution that enhances the way you and your colleagues work together.","A workspace solution that enhances the way you and your colleagues work together.","Active","dc.6_2_social_office_card_description"
"7.0::Admin Guide Card Description","English","Learn how to use all the out-of-the-box features in Liferay DXP 7.0.","Learn how to use all the out-of-the-box features in Liferay DXP 7.0.","Active","dc.7_0-admin_guide_card_description"
"7.0::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay DXP 7.0.","Learn about the supported configurations for Liferay DXP 7.0.","Active","dc.7_0-compatibility_matrix_card_description"
"7.0::Deployment Guide Card Description","English","Learn how to deploy, configure, maintain, and monitor your Liferay DXP 7.0 environments.","Learn how to deploy, configure, maintain, and monitor your Liferay DXP 7.0 environments.","Active","dc.7_0-deployment_guide_card_description"
"7.0::Latest Release Card Description","English","Download  and install the latest release of Liferay DXP 7.0.","Download  and install the latest release of Liferay DXP 7.0.","Active","dc.7_0-latest_release_card_description"
"7.0::Page Heading","English","Liferay Digital Experience Platform 7.0","Liferay Digital Experience Platform 7.0","Active","dc.7_0-page_heading"
"7.0::Patching Tool Card Description","English","Download the patching tool to install Liferay DXP 7.0 software updates.","Download the patching tool to install Liferay DXP 7.0 software updates.","Active","dc.7_0-patching_tool_card_description"
"7.0::Service Life Card Description","English","Reference the end of life policy for Liferay DXP 7.0.","Reference the end of life policy for Liferay DXP 7.0.","Active","dc.7_0-service_life_card_description"
"7.0::Service Packs Archive Card Description","English","Access previous service pack releases for Liferay DXP 7.0.","Access previous service pack releases for Liferay DXP 7.0.","Active","dc.7_0-service_packs_archive_card_description"
"7.0::Upgrading Card Description","English","Reference a collection of resources to assist you with upgrading to Liferay DXP 7.0.","Reference a collection of resources to assist you with upgrading to Liferay DXP 7.0.","Active","dc.7_0-upgrading_card_description"
"7.1::Account Support Card Description","English","Learn more about designated contacts for your project.","Learn more about designated contacts for your project.","Active","dc.7_1-account_support_card_description"
"7.1::Activation Keys Card Description","English","Request a key for your workstation and production environments.","Request a key for your workstation and production environments.","Active","dc.7_1-activation_keys_card_description"
"7.1::Admin Guide Card","English","Admin Guide","Admin Guide","Active","dc.7_1-admin_guide_card"
"7.1::Admin Guide Card Description","English","Learn how to use all the out-of-the-box features in Liferay DXP 7.1.","Learn how to use all the out-of-the-box features in Liferay DXP 7.1.","Active","dc.7_1-admin_guide_card_description"
"7.1::Admin Reference Card","English","Admin Reference","Admin Reference","Active","dc.7_1-admin_reference_card"
